Size (bp),A1: CFD1806872
1.00,1105.54
2.00,758.59
2.67,448.58
3.34,252.98
4.01,159.30
4.68,123.42
5.36,112.22
6.03,109.91
6.70,109.91
7.37,110.10
8.04,111.59
8.71,116.02
9.38,122.76
10.05,128.88
10.73,130.98
11.40,127.08
12.07,117.60
12.74,104.65
13.41,90.25
14.08,75.60
14.75,61.67
15.42,49.49
16.10,39.75
16.77,32.49
17.44,27.31
18.11,23.78
18.78,21.60
19.45,20.39
20.12,19.83
20.79,19.71
21.47,19.60
22.14,18.91
22.81,17.52
23.48,15.83
24.15,14.37
24.82,13.24
25.49,12.49
26.16,12.30
26.84,12.35
27.51,12.00
28.18,11.15
28.85,10.43
29.52,10.25
30.19,10.31
30.86,10.34
31.53,10.35
32.21,10.08
32.88,9.43
33.55,8.93
34.22,9.43
34.89,9.37
35.56,8.65
36.23,7.68
36.90,7.22
37.58,7.76
38.25,9.14
38.92,10.63
39.59,11.61
40.26,12.07
40.93,12.40
41.60,12.81
42.27,13.15
42.95,13.28
43.62,13.21
44.29,12.75
44.96,11.69
45.63,10.18
46.30,8.55
46.97,7.05
47.64,6.03
48.32,5.80
48.99,6.17
49.66,6.58
50.33,7.01
51.00,7.70
51.67,8.49
52.34,9.11
53.01,9.39
53.68,9.01
54.36,7.97
55.03,7.04
55.70,6.72
56.37,6.74
57.04,6.90
57.71,7.24
58.38,7.49
59.05,7.39
59.73,7.15
60.40,7.23
61.07,7.74
61.74,8.50
62.41,9.56
63.08,10.85
63.75,11.64
64.42,11.57
65.10,11.54
65.77,12.50
66.44,13.96
67.11,14.81
67.78,14.79
68.45,14.42
69.12,14.08
69.79,13.65
70.47,13.06
71.14,12.68
71.81,12.69
72.48,12.68
73.15,12.34
73.82,11.97
74.49,12.04
75.16,12.78
75.84,13.93
76.51,14.70
77.18,14.66
77.85,14.20
78.52,13.85
79.19,13.77
79.86,13.87
80.53,14.01
81.21,14.34
81.88,15.07
82.55,15.78
83.22,15.85
83.89,15.30
84.56,15.03
85.23,15.94
85.90,17.97
86.58,20.05
87.25,21.10
87.92,20.77
88.59,19.80
89.26,19.53
89.93,20.49
90.60,22.07
91.27,23.41
91.95,24.31
92.62,25.22
93.29,26.43
93.96,27.78
94.63,29.25
95.30,31.13
95.97,33.31
96.64,35.15
97.32,36.34
97.99,37.35
98.66,38.64
99.33,39.96
100.00,40.68
101.00,40.85
101.76,41.61
102.52,42.94
103.28,44.40
104.05,45.81
104.81,47.43
105.57,49.44
106.33,51.47
107.09,53.17
107.85,55.05
108.62,57.95
109.38,61.66
110.14,65.37
110.90,68.95
111.66,72.89
112.42,77.57
113.18,83.11
113.95,89.30
114.71,95.66
115.47,101.77
116.23,107.50
116.99,112.92
117.75,118.54
118.52,124.69
119.28,131.04
120.04,137.22
120.80,143.38
121.56,149.84
122.32,156.69
123.08,163.76
123.85,170.73
124.61,177.44
125.37,183.90
126.13,190.41
126.89,197.59
127.65,205.59
128.42,213.73
129.18,221.51
129.94,229.50
130.70,238.46
131.46,248.24
132.22,257.92
132.98,267.06
133.75,276.07
134.51,285.36
135.27,294.94
136.03,304.53
136.79,313.55
137.55,321.55
138.32,328.53
139.08,334.44
139.84,339.12
140.60,342.96
141.36,346.71
142.12,350.58
142.88,354.35
143.65,358.15
144.41,362.32
145.17,367.15
145.93,373.06
146.69,380.29
147.45,388.81
148.22,398.88
148.98,410.90
149.74,424.85
150.50,440.42
151.26,457.55
152.02,476.41
152.78,497.08
153.55,519.13
154.31,541.82
155.07,564.85
155.83,588.63
156.59,613.34
157.35,637.85
158.12,660.56
158.88,680.86
159.64,699.03
160.40,715.24
161.16,729.32
161.92,740.86
162.68,749.46
163.45,755.20
164.21,758.38
164.97,758.67
165.73,755.31
166.49,748.54
167.25,739.65
168.02,729.32
168.78,716.85
169.54,701.66
170.30,684.07
171.06,664.89
171.82,644.86
172.58,624.42
173.35,603.38
174.11,581.28
174.87,557.94
175.63,533.93
176.39,487.96
177.15,465.79
177.92,443.78
178.68,422.79
179.44,402.98
180.20,383.77
180.96,364.93
181.72,346.58
182.48,328.96
183.25,312.55
184.01,297.49
184.77,283.33
185.53,269.69
186.29,256.78
187.05,244.46
187.82,232.18
188.58,220.17
189.34,209.24
190.10,199.58
190.86,190.82
191.62,182.71
192.38,174.94
193.15,167.10
193.91,159.51
194.67,152.85
195.43,146.90
196.19,140.88
196.95,134.48
197.72,128.00
198.48,121.91
199.24,116.37
200.00,111.02
201.00,105.67
201.76,100.74
202.52,96.52
203.28,92.62
204.05,88.47
204.81,84.23
205.57,80.55
206.33,77.45
207.09,74.39
207.85,71.35
208.62,68.51
209.38,65.65
210.14,62.67
210.90,60.06
211.66,58.20
212.42,56.83
213.18,55.55
213.95,54.08
214.71,52.21
215.47,50.15
216.23,48.27
216.99,46.45
217.75,44.45
218.52,42.63
219.28,41.51
