Size (bp),E2: CFD1601677
1.00,1703.15
2.00,1310.27
2.62,861.63
3.23,510.00
3.85,299.92
4.47,198.52
5.08,156.34
5.70,139.94
6.31,133.41
6.93,130.24
7.55,127.86
8.16,125.67
8.78,124.85
9.40,127.44
10.01,134.49
10.63,144.92
11.25,155.56
11.86,162.69
12.48,164.31
13.09,160.82
13.71,153.47
14.33,142.34
14.94,126.71
15.56,107.59
16.18,88.29
16.79,71.76
17.41,49.91
18.03,43.81
18.64,39.85
19.26,37.37
19.87,35.94
20.49,34.98
21.11,34.13
21.72,33.64
22.34,33.65
22.96,33.54
23.57,32.67
24.19,31.29
24.81,30.00
25.42,29.09
26.04,28.75
26.65,29.21
27.27,30.16
27.89,30.92
28.50,31.10
29.12,30.77
29.74,30.40
30.35,30.50
30.97,31.04
31.58,31.43
32.20,31.14
32.82,30.60
33.43,30.63
34.05,31.25
34.67,32.18
35.28,33.44
35.90,34.99
36.52,36.77
37.13,38.62
37.75,40.22
38.36,41.48
38.98,42.80
39.60,44.76
40.21,47.48
40.83,50.31
41.45,52.46
42.06,53.47
42.68,53.40
43.30,52.69
43.91,51.78
44.53,51.04
45.14,50.74
45.76,50.78
46.38,50.99
46.99,51.47
47.61,52.16
48.23,52.75
48.84,53.43
49.46,54.94
50.08,57.21
50.69,60.37
51.31,60.82
51.92,61.00
52.54,61.06
53.16,60.86
53.77,60.51
54.39,60.43
55.01,60.73
55.62,61.29
56.24,62.17
56.86,63.29
57.47,64.32
58.09,65.23
58.70,65.99
59.32,66.34
59.94,66.48
60.55,66.74
61.17,66.96
61.79,66.97
62.40,66.97
63.02,67.12
63.64,67.36
64.25,67.56
64.87,67.50
65.48,67.26
66.10,67.49
66.72,68.47
67.33,69.26
67.95,69.02
68.57,68.07
69.18,67.00
69.80,66.15
70.42,65.96
71.03,66.41
71.65,66.85
72.26,67.05
72.88,67.31
73.50,67.74
74.11,68.11
74.73,68.18
75.35,68.02
75.96,67.93
76.58,68.08
77.19,68.37
77.81,68.63
78.43,68.64
79.04,68.24
79.66,67.61
80.28,67.12
80.89,66.83
81.51,66.64
82.13,66.62
82.74,66.59
83.36,65.88
83.97,65.89
84.59,65.75
85.21,65.04
85.82,64.49
86.44,64.72
87.06,65.01
87.67,64.58
88.29,63.93
88.91,63.88
89.52,64.16
90.14,63.93
90.75,63.17
91.37,62.53
91.99,62.21
92.60,61.89
93.22,61.30
93.84,60.64
94.45,60.43
95.07,60.94
95.69,61.95
96.30,63.16
96.92,64.28
97.53,64.93
98.15,65.03
98.77,65.09
99.38,65.78
100.00,67.18
101.00,68.44
101.74,68.78
102.49,68.45
103.23,68.27
103.98,68.85
104.72,70.43
105.47,72.72
106.21,75.02
106.95,76.70
107.70,77.71
108.44,78.55
109.19,79.67
109.93,81.16
110.68,83.03
111.42,85.34
112.17,87.92
112.91,90.31
113.65,92.24
114.40,94.20
115.14,96.88
115.89,100.36
116.63,104.23
117.38,108.02
118.12,111.34
118.86,114.32
119.61,117.67
120.35,127.42
121.10,133.60
121.84,140.14
122.59,146.75
123.33,153.27
124.08,160.04
124.82,167.63
125.56,176.11
126.31,185.28
127.05,195.00
127.80,205.12
128.54,215.66
