Size (bp),F8: CFD1600800
1.00,3494.76
2.00,2455.47
2.60,1497.59
3.20,856.63
3.79,521.00
4.39,375.99
4.99,322.34
5.59,305.66
6.18,301.42
6.78,300.22
7.38,301.53
7.98,309.29
8.57,327.28
9.17,354.66
9.77,383.67
10.37,402.95
10.96,405.16
11.56,390.60
12.16,362.78
12.76,323.90
13.35,276.94
13.95,228.28
14.55,184.79
15.15,150.03
15.74,124.27
16.34,106.36
16.94,94.77
17.54,87.83
18.13,83.76
18.73,81.14
19.33,79.29
19.93,77.74
20.52,75.53
21.12,72.03
21.72,67.92
22.32,64.18
22.91,61.01
23.51,58.10
24.11,55.28
24.71,52.86
25.30,51.37
25.90,50.99
26.50,51.31
27.10,51.46
27.70,50.84
28.29,49.77
28.89,48.78
29.49,47.90
30.09,47.02
30.68,46.17
31.28,45.46
31.88,44.75
32.48,44.31
33.07,43.79
33.67,43.54
34.27,43.44
34.87,43.15
35.46,42.91
36.06,43.12
36.66,43.82
37.26,45.06
37.85,47.26
38.45,50.81
39.05,55.93
39.65,62.55
40.24,69.68
40.84,74.80
41.44,75.06
42.04,69.97
42.63,62.15
43.23,54.90
43.83,49.81
44.43,46.90
45.02,45.70
45.62,45.80
46.22,46.83
46.82,48.56
47.41,50.88
48.01,53.37
48.61,55.00
49.21,54.70
49.80,52.58
50.40,50.09
51.00,48.39
51.60,47.57
52.20,47.35
52.79,47.54
53.39,47.90
53.99,48.25
54.59,48.94
55.18,50.25
55.78,51.65
56.38,52.50
56.98,52.85
57.57,53.05
58.17,53.12
58.77,52.92
59.37,52.56
59.96,52.29
60.56,52.26
61.16,52.60
61.76,53.34
62.35,54.22
62.95,54.89
63.55,55.23
64.15,55.20
64.74,54.87
65.34,54.63
65.94,54.88
66.54,55.56
67.13,56.54
67.73,57.97
68.33,59.54
68.93,60.35
69.52,60.14
70.12,59.63
70.72,59.40
71.32,59.46
71.91,59.69
72.51,60.18
73.11,61.19
73.71,62.73
74.30,64.28
74.90,65.20
75.50,65.30
76.10,64.99
76.70,64.81
77.29,65.01
77.89,65.57
78.49,66.29
79.09,66.88
79.68,67.04
80.28,66.52
80.88,65.29
81.48,64.19
82.07,64.16
82.67,64.73
83.27,64.70
83.87,63.95
84.46,63.25
85.06,63.02
85.66,63.00
86.26,62.87
86.85,62.66
87.45,62.57
88.05,62.71
88.65,62.93
89.24,62.94
89.84,62.59
90.44,62.19
91.04,62.15
91.63,62.52
92.23,63.00
92.83,63.30
93.43,63.55
94.02,64.07
94.62,65.37
95.22,65.60
95.82,65.89
96.41,66.32
97.01,66.64
97.61,66.90
98.21,67.37
98.80,68.18
99.40,69.14
100.00,69.87
101.00,70.16
101.71,70.45
102.42,71.36
103.14,72.84
103.85,74.34
104.56,75.65
105.27,76.81
105.99,77.99
106.70,79.33
107.41,80.67
108.12,81.79
108.83,82.84
109.55,84.10
110.26,85.67
110.97,87.60
111.68,89.75
112.40,91.79
113.11,93.55
113.82,95.24
114.53,97.41
115.24,100.45
115.96,104.24
116.67,108.17
117.38,111.66
118.09,114.79
118.81,118.04
119.52,121.42
120.23,124.74
120.94,128.28
121.65,132.49
122.37,137.22
123.08,142.01
123.79,147.05
124.50,152.93
125.22,159.67
125.93,166.71
126.64,173.74
127.35,181.10
128.06,189.33
128.78,198.32
129.49,207.61
130.20,217.03
130.91,226.49
131.63,235.83
132.34,245.21
133.05,255.01
133.76,265.08
134.47,274.84
135.19,284.40
135.90,294.61
136.61,305.59
137.32,316.50
138.04,327.20
138.75,338.44
139.46,350.81
140.17,364.57
140.88,379.78
141.60,396.21
142.31,413.92
143.02,432.82
143.73,451.89
144.45,471.10
145.16,492.48
145.87,517.30
146.58,544.33
147.29,571.88
148.01,599.67
148.72,628.17
149.43,657.42
150.14,686.81
150.86,715.77
151.57,744.65
152.28,773.72
152.99,802.26
153.71,829.79
154.42,856.37
155.13,881.40
155.84,903.80
156.55,922.88
157.27,938.16
157.98,949.59
158.69,957.89
159.40,963.77
160.12,967.20
160.83,967.79
161.54,966.02
162.25,963.10
162.96,958.69
163.68,950.56
164.39,937.86
165.10,922.43
165.81,906.26
166.53,889.80
167.24,872.66
167.95,854.47
168.66,814.55
169.37,792.02
170.09,768.47
170.80,745.88
171.51,724.96
172.22,704.85
172.94,684.52
173.65,663.62
174.36,643.14
175.07,623.89
175.78,604.96
176.50,585.54
177.21,566.38
177.92,548.06
178.63,529.88
179.35,511.23
180.06,493.06
180.77,477.11
181.48,463.85
182.19,452.03
182.91,440.34
183.62,428.28
184.33,416.10
185.04,404.33
185.76,392.93
186.47,381.19
187.18,368.89
187.89,356.94
188.60,346.12
189.32,335.90
190.03,325.70
190.74,316.24
191.45,308.17
192.17,300.74
192.88,292.89
193.59,284.53
194.30,276.25
195.01,268.84
195.73,262.53
196.44,256.53
197.15,250.05
197.86,243.28
198.58,236.26
199.29,228.81
200.00,221.63
201.00,215.67
201.73,210.85
202.46,206.11
203.18,200.57
203.91,194.44
204.64,188.46
205.37,183.10
206.10,178.35
206.82,173.80
207.55,169.17
208.28,165.05
209.01,161.75
209.74,158.18
210.46,153.36
211.19,147.80
211.92,142.45
212.65,137.55
213.37,133.31
214.10,130.07
214.83,127.50
215.56,124.93
216.29,122.22
217.01,119.54
217.74,116.89
218.47,114.21
219.20,111.71
219.93,109.76
220.65,108.43
221.38,107.23
222.11,105.72
222.84,103.95
223.57,102.38
224.29,101.39
225.02,100.66
225.75,99.39
226.48,97.13
227.21,94.14
227.93,91.15
228.66,89.02
229.39,87.93
230.12,87.18
230.85,86.15
231.57,85.15
232.30,84.65
233.03,84.43
233.76,83.72
234.49,82.33
235.21,80.83
235.94,79.73
236.67,79.02
237.40,78.24
238.12,77.16
238.85,76.06
239.58,75.25
240.31,74.70
241.04,74.36
241.76,74.23
242.49,73.93
243.22,73.26
243.95,72.77
244.68,72.86
245.40,73.25
246.13,72.93
246.86,72.50
247.59,72.57
248.32,73.25
249.04,73.77
249.77,73.50
250.50,72.29
251.23,70.19
251.96,67.93
252.68,66.64
253.41,66.50
254.14,66.77
254.87,66.90
255.60,66.72
256.32,66.37
257.05,66.29
257.78,66.47
258.51,66.34
259.24,66.00
259.96,66.17
260.69,66.69
261.42,66.90
262.15,66.85
262.87,67.01
263.60,67.32
264.33,67.34
265.06,67.19
265.79,67.34
266.51,67.93
267.24,68.80
267.97,69.71
268.70,70.36
269.43,70.55
270.15,70.42
270.88,70.34
271.61,70.67
272.34,71.42
273.07,72.21
273.79,72.87
274.52,73.61
275.25,74.62
275.98,75.60
276.71,76.00
277.43,75.77
278.16,75.36
278.89,75.07
279.62,75.05
280.35,75.49
281.07,76.47
281.80,77.66
282.53,78.72
283.26,79.68
283.99,80.78
284.71,81.98
285.44,83.21
286.17,84.75
286.90,86.72
287.62,88.81
288.35,90.82
289.08,92.89
289.81,95.05
290.54,97.11
291.26,98.62
291.99,99.22
292.72,99.37
293.45,99.95
294.18,101.17
294.90,102.63
295.63,104.21
296.36,106.07
297.09,108.21
297.82,110.58
298.54,113.39
299.27,117.02
300.00,121.20
301.00,125.13
301.75,128.45
302.50,131.01
303.25,132.36
304.00,132.57
304.75,132.69
305.50,133.68
306.25,135.42
307.00,137.24
307.75,138.96
308.50,140.75
309.25,142.58
310.00,144.34
310.75,145.99
311.50,147.36
312.25,148.36
313.00,149.48
313.75,151.27
314.50,153.72
315.25,156.44
316.00,159.08
316.75,161.07
317.50,162.02
318.25,162.37
319.00,162.81
319.75,163.18
320.50,163.14
321.25,163.35
322.00,164.80
322.75,170.22
323.50,172.28
324.25,173.96
325.00,175.91
325.75,177.73
326.50,178.80
327.25,179.45
328.00,180.17
328.75,180.88
329.50,181.31
330.25,181.46
331.00,181.63
331.75,181.89
332.50,181.82
333.25,181.18
334.00,180.44
334.75,180.33
335.50,181.13
336.25,182.50
337.00,184.07
337.75,185.97
338.50,188.20
339.25,190.30
340.00,192.18
340.75,194.35
341.50,197.13
342.25,200.44
343.00,204.06
343.75,208.08
344.50,212.40
345.25,215.85
346.00,217.20
346.75,216.76
347.50,215.64
348.25,214.69
349.00,214.67
349.75,215.96
350.50,218.02
351.25,219.96
352.00,221.24
352.75,221.60
353.50,221.38
354.25,221.04
355.00,220.63
355.75,220.39
356.50,221.07
357.25,222.76
358.00,224.61
358.75,225.78
359.50,226.02
360.25,225.70
361.00,225.55
361.75,226.08
362.50,226.90
363.25,227.28
364.00,227.26
364.75,227.19
365.50,226.56
366.25,224.78
367.00,222.81
367.75,222.27
368.50,223.32
369.25,224.44
370.00,224.47
370.75,223.61
371.50,222.25
372.25,220.48
373.00,218.92
373.75,218.09
374.50,217.50
375.25,216.45
376.00,214.74
376.75,212.62
377.50,210.50
378.25,208.64
379.00,206.78
379.75,204.54
380.50,201.96
381.25,199.36
382.00,197.01
382.75,195.31
383.50,194.30
384.25,192.84
385.00,189.88
385.75,186.27
386.50,183.77
387.25,182.80
388.00,182.02
388.75,180.19
389.50,177.24
390.25,173.74
391.00,170.03
391.75,166.60
392.50,164.12
393.25,162.43
394.00,160.45
394.75,157.74
395.50,154.70
396.25,151.59
397.00,148.42
397.75,145.09
398.50,141.20
399.25,137.15
400.00,134.16
401.00,132.46
401.80,128.42
402.61,125.71
403.41,123.48
404.22,121.88
405.02,120.56
405.83,119.05
406.63,116.87
407.44,113.87
408.24,110.34
409.05,106.71
409.85,103.38
410.66,100.60
411.46,98.19
412.27,95.84
413.07,93.72
413.88,92.28
414.68,91.47
415.49,90.59
416.29,88.99
417.10,86.84
417.90,84.86
418.71,83.34
419.51,81.80
420.32,79.87
421.12,77.65
421.93,75.34
422.73,73.46
423.54,72.63
424.34,72.57
425.15,72.13
425.95,70.74
426.76,69.11
427.56,67.76
428.37,66.25
429.17,64.28
429.98,62.49
430.78,61.58
431.59,61.02
432.39,59.76
433.20,57.88
434.00,56.58
434.80,56.41
435.61,56.42
436.41,55.48
437.22,53.91
438.02,52.92
438.83,52.91
439.63,53.17
