Sample	Top over-represented sequence	Sum of remaining over-represented sequences
B192-B194E33_R1	0.0	0.0
B210E33_R1	0.0	0.0
B251E10_R1	0.0	0.0
CFD1500875_S0_R1	0.0	0.0
CFD1500962_S0_R1	0.0	0.0
CFD1500977_S0_R1	0.0	0.0
CFD1600102_S0_R1	0.0	0.0
CFD1600374_S0_R1	0.0	0.0
CFD1600375_S0_R1	0.0	0.0
CFD1600376_S0_R1	0.0	0.0
CFD1600416_S0_R1	0.0	0.0
CFD1600417_S0_R1	0.0	0.0
CFD1600418_S0_R1	0.0	0.0
CFD1600419_S0_R1	0.0	0.0
CFD1600420_S0_R1	0.0	0.0
CFD1600501_S0_R1	0.0	0.0
CFD1600599_S0_R1	0.0	0.0
CFD1600654_S0_R1	0.0	0.0
CFD1600799_S0_R1	0.0	0.0
CFD1600800_S0_R1	0.0	0.0
CFD1600801_S0_R1	0.0	0.0
CFD1600802_S0_R1	0.0	0.0
CFD1600803_S0_R1	0.0	0.0
CFD1600804_S0_R1	0.0	0.0
CFD1600805_S0_R1	0.0	0.0
CFD1600806_S0_R1	0.0	0.0
CFD1600812_S0_R1	0.0	0.0
CFD1600839_S0_R1	0.0	0.0
CFD1600840_S0_R1	0.0	0.0
CFD1600841_S0_R1	0.0	0.0
CFD1600842_S0_R1	0.0	0.0
CFD1600843_S0_R1	0.0	0.0
CFD1600849_S0_R1	0.0	0.0
CFD1600851_S0_R1	0.0	0.0
CFD1600853_S0_R1	0.0	0.0
CFD1600889_S0_R1	0.0	0.0
CFD1601067_S0_R1	0.0	0.0
CFD1601086_S0_R1	0.0	0.0
CFD1601174_S0_R1	0.0	0.0
CFD1601175_S0_R1	0.0	0.0
CFD1601176_S0_R1	0.0	0.0
CFD1601214_S0_R1	0.0	0.0
CFD1601224_S0_R1	0.0	0.0
CFD1601382_S0_R1	0.0	0.0
CFD1601406_S0_R1	0.0	0.0
CFD1601428_S0_R1	0.0	0.0
CFD1601621_S0_R1	0.0	0.0
CFD1601677_S0_R1	0.0	0.0
CFD1601678_S0_R1	0.0	0.0
CFD1601714_S0_R1	0.0	0.0
CFD1700033_S0_R1	0.0	0.0
CFD1700085_S0_R1	0.0	0.0
CFD1700113_S0_R1	0.0	0.0
CFD1700206_S0_R1	0.0	0.0
CFD1700291_S0_R1	0.0	0.0
CFD1700296_S0_R1	0.0	0.0
CFD1700297_S0_R1	0.0	0.0
CFD1700533_S0_R1	0.0	0.0
CFD1700574_S0_R1	0.0	0.0
CFD1700622_S0_R1	0.0	0.0
CFD1700639_S0_R1	0.0	0.0
CFD1700697_S0_R1	0.0	0.0
CFD1700831_S48_R1	0.0	0.0
CFD1700975_S0_R1	0.0	0.0
CFD1701048_S0_R1	0.0	0.0
CFD1701149_S0_R1	0.0	0.0
CFD1701162_S42_R1	0.0	0.0
CFD1701663_S64_R1	0.11027158479528479	0.0
CFD1702217_S58_R1	0.0	0.0
CFD1702232_S73_R1	0.0	0.0
CFD1702354_S78_R1	0.0	0.0
CFD1702616_S34_R1	0.0	0.0
CFD1703030_S24_R1	0.0	0.0
CFD1703055_S3_R1	0.0	0.0
CFD1703310_S51_R1	0.11267732081803572	0.0
CFD1704141_S3_R1	0.0	0.0
CFD1704153_S41_R1	0.0	0.0
CFD1704154_S42_R1	0.16467217664131886	0.0
CFD1704155_S43_R1	0.1407351623643581	0.0
CFD1704156_S44_R1	0.10124187867712572	0.0
CFD1704157_S45_R1	0.0	0.0
CFD1704158_S46_R1	0.36438710765029925	0.0
CFD1704159_S47_R1	0.277684939690259	0.0
CFD1704160_S4_R1	0.0	0.0
CFD1704161_S5_R1	0.0	0.0
CFD1704183_S44_R1	0.7871102479221207	0.0
CFD1704184_S45_R1	0.0	0.0
CFD1704185_S46_R1	0.9026109680156438	0.0
CFD1704186_S47_R1	1.0163073042014643	0.0
CFD1704191_S40_R1	0.0	0.0
CFD1704192_S42_R1	0.748833249602938	0.0
CFD1704239_S41_R1	0.14832365818069146	0.0
