Sample	Unique Reads	Duplicate Reads
B192-B194E33_R1	50393874.0	34120939.0
B210E33_R1	45008879.0	35755530.0
B251E10_R1	48505655.0	31571827.0
CFD1500875_S0_R1	9496272.0	558009.0
CFD1500962_S0_R1	10895844.0	679920.0
CFD1500977_S0_R1	9513653.0	300355.0
CFD1600102_S0_R1	14040150.0	905147.0
CFD1600374_S0_R1	16269972.0	1027515.0
CFD1600375_S0_R1	12434718.0	770818.0
CFD1600376_S0_R1	15303706.0	851574.0
CFD1600416_S0_R1	24771333.0	1425791.0
CFD1600417_S0_R1	15536137.0	835498.0
CFD1600418_S0_R1	11142177.0	477534.0
CFD1600419_S0_R1	9608099.0	498909.0
CFD1600420_S0_R1	13534943.0	760712.0
CFD1600501_S0_R1	15037181.0	648027.0
CFD1600599_S0_R1	10511660.0	461116.0
CFD1600654_S0_R1	14693159.0	786691.0
CFD1600799_S0_R1	12963090.0	574963.0
CFD1600800_S0_R1	12140116.0	897016.0
CFD1600801_S0_R1	12917871.0	864011.0
CFD1600802_S0_R1	14511969.0	951897.0
CFD1600803_S0_R1	17777471.0	818074.0
CFD1600804_S0_R1	13702341.0	825817.0
CFD1600805_S0_R1	13820039.0	626793.0
CFD1600806_S0_R1	11479406.0	620155.0
CFD1600812_S0_R1	12756025.0	695053.0
CFD1600839_S0_R1	17492224.0	630147.0
CFD1600840_S0_R1	12316819.0	488027.0
CFD1600841_S0_R1	19857547.0	771864.0
CFD1600842_S0_R1	12264995.0	628454.0
CFD1600843_S0_R1	15889789.0	801157.0
CFD1600849_S0_R1	12407312.0	546394.0
CFD1600851_S0_R1	13359149.0	700598.0
CFD1600853_S0_R1	12609103.0	546956.0
CFD1600889_S0_R1	12371837.0	1350831.0
CFD1601067_S0_R1	15598214.0	910002.0
CFD1601086_S0_R1	8614343.0	228614.0
CFD1601174_S0_R1	19639328.0	726945.0
CFD1601175_S0_R1	4523120.0	212250.0
CFD1601176_S0_R1	16810183.0	696048.0
CFD1601214_S0_R1	13102394.0	528192.0
CFD1601224_S0_R1	11627089.0	515545.0
CFD1601382_S0_R1	8340097.0	650225.0
CFD1601406_S0_R1	12202860.0	663058.0
CFD1601428_S0_R1	6961003.0	476050.0
CFD1601621_S0_R1	9772744.0	706272.0
CFD1601677_S0_R1	14031665.0	912581.0
CFD1601678_S0_R1	12305236.0	956494.0
CFD1601714_S0_R1	11483005.0	902466.0
CFD1700033_S0_R1	15427590.0	1201735.0
CFD1700085_S0_R1	9607092.0	521713.0
CFD1700113_S0_R1	14676359.0	771695.0
CFD1700206_S0_R1	12698703.0	511918.0
CFD1700291_S0_R1	14683658.0	1099081.0
CFD1700296_S0_R1	11950837.0	603164.0
CFD1700297_S0_R1	12554601.0	597148.0
CFD1700533_S0_R1	10863176.0	534984.0
CFD1700574_S0_R1	11036514.0	526276.0
CFD1700622_S0_R1	9812498.0	440191.0
CFD1700639_S0_R1	12372104.0	562740.0
CFD1700697_S0_R1	9038901.0	383494.0
CFD1700831_S48_R1	16261664.0	3367411.0
CFD1700975_S0_R1	14288358.0	945218.0
CFD1701048_S0_R1	16035489.0	723036.0
CFD1701149_S0_R1	12326393.0	762394.0
CFD1701162_S42_R1	21193307.0	2802709.0
CFD1701663_S64_R1	22978041.0	4631973.0
CFD1702217_S58_R1	22047483.0	2582521.0
CFD1702232_S73_R1	21045696.0	2523329.0
CFD1702354_S78_R1	19584537.0	2368676.0
CFD1702616_S34_R1	28185882.0	3006065.0
CFD1703030_S24_R1	21137099.0	1962000.0
CFD1703055_S3_R1	20912771.0	1650164.0
CFD1703310_S51_R1	29007084.0	5299731.0
CFD1704141_S3_R1	17090880.0	2275678.0
CFD1704153_S41_R1	20158782.0	1808522.0
CFD1704154_S42_R1	16947939.0	2125107.0
CFD1704155_S43_R1	14273868.0	2009909.0
CFD1704156_S44_R1	17452485.0	1593981.0
CFD1704157_S45_R1	20201874.0	2039428.0
CFD1704158_S46_R1	20919127.0	2523799.0
CFD1704159_S47_R1	15744443.0	2342602.0
CFD1704160_S4_R1	14982790.0	1895548.0
CFD1704161_S5_R1	20367133.0	2174094.0
CFD1704183_S44_R1	22079492.0	6289215.0
CFD1704184_S45_R1	86037516.0	21785119.0
CFD1704185_S46_R1	19778738.0	6088220.0
CFD1704186_S47_R1	18530879.0	5863711.0
CFD1704191_S40_R1	19969525.0	2538091.0
CFD1704192_S42_R1	20147050.0	6412401.0
CFD1704239_S41_R1	21061830.0	3614611.0
CFD1704240_S42_R1	18605049.0	4740755.0
CFD1704241_S43_R1	16175829.0	3167312.0
CFD1704242_S44_R1	23242864.0	2678939.0
CFD1704243_S29_R1	13966476.0	6333430.0
