Sample	Unique Unpaired	Duplicate Unpaired	Unmapped
B192-B194E33_R1	51308887.0	33161469.0	44457.0
B210E33_R1	43969594.0	36764198.0	30617.0
B251E10_R1	49238789.0	30795497.0	43196.0
CFD1500875_S0_R1	8428088.0	1362019.0	264174.0
CFD1500962_S0_R1	9948493.0	1448487.0	178784.0
CFD1500977_S0_R1	8823536.0	757477.0	232995.0
CFD1600102_S0_R1	12550033.0	2178625.0	216639.0
CFD1600374_S0_R1	14707078.0	2343423.0	246986.0
CFD1600375_S0_R1	10867635.0	2057017.0	280884.0
CFD1600376_S0_R1	13776596.0	2075155.0	303529.0
CFD1600416_S0_R1	22263516.0	3456297.0	477311.0
CFD1600417_S0_R1	14200739.0	1936483.0	234413.0
CFD1600418_S0_R1	10350110.0	1087121.0	182480.0
CFD1600419_S0_R1	8756501.0	1171507.0	179000.0
CFD1600420_S0_R1	12206565.0	1840275.0	248815.0
CFD1600501_S0_R1	13817411.0	1579098.0	288699.0
CFD1600599_S0_R1	9685205.0	1087726.0	199845.0
CFD1600654_S0_R1	13371494.0	1841090.0	267266.0
CFD1600799_S0_R1	11993287.0	1281389.0	263377.0
CFD1600800_S0_R1	10337066.0	2367680.0	332386.0
CFD1600801_S0_R1	11316107.0	2214727.0	251048.0
CFD1600802_S0_R1	12667550.0	2542894.0	253422.0
CFD1600803_S0_R1	16387433.0	1882480.0	325632.0
CFD1600804_S0_R1	12308553.0	1941954.0	277651.0
CFD1600805_S0_R1	12676500.0	1444010.0	326322.0
CFD1600806_S0_R1	10417162.0	1453075.0	229324.0
CFD1600812_S0_R1	11537943.0	1644259.0	268876.0
CFD1600839_S0_R1	16156611.0	1586975.0	378785.0
CFD1600840_S0_R1	11228568.0	1276224.0	300054.0
CFD1600841_S0_R1	18375041.0	1785791.0	468579.0
CFD1600842_S0_R1	11055261.0	1558032.0	280156.0
CFD1600843_S0_R1	14298573.0	1990812.0	401561.0
CFD1600849_S0_R1	11433317.0	1263986.0	256403.0
CFD1600851_S0_R1	11820012.0	1869416.0	370319.0
CFD1600853_S0_R1	11286585.0	1393470.0	476004.0
CFD1600889_S0_R1	10158857.0	3244221.0	319590.0
CFD1601067_S0_R1	14067075.0	2183778.0	257363.0
CFD1601086_S0_R1	7804824.0	800508.0	237625.0
