Sample	Mapped	Unmapped
B192-B194E33_samtools	51308887.0	44457.0
B210E33_samtools	43969594.0	30617.0
B251E10_samtools	49238789.0	43196.0
CFD1500875_S0_samtools	8428088.0	264174.0
CFD1500962_S0_samtools	9948493.0	178784.0
CFD1500977_S0_samtools	8823536.0	232995.0
CFD1600102_S0_samtools	12550033.0	216639.0
CFD1600374_S0_samtools	14707078.0	246986.0
CFD1600375_S0_samtools	10867635.0	280884.0
CFD1600376_S0_samtools	13776596.0	303529.0
CFD1600416_S0_samtools	22263516.0	477311.0
CFD1600417_S0_samtools	14200739.0	234413.0
CFD1600418_S0_samtools	10350110.0	182480.0
CFD1600419_S0_samtools	8756501.0	179000.0
CFD1600420_S0_samtools	12206565.0	248815.0
CFD1600501_S0_samtools	13817411.0	288699.0
CFD1600599_S0_samtools	9685205.0	199845.0
CFD1600654_S0_samtools	13371494.0	267266.0
CFD1600799_S0_samtools	11993287.0	263377.0
CFD1600800_S0_samtools	10337066.0	332386.0
CFD1600801_S0_samtools	11316107.0	251048.0
CFD1600802_S0_samtools	12667550.0	253422.0
CFD1600803_S0_samtools	16387433.0	325632.0
CFD1600804_S0_samtools	12308553.0	277651.0
CFD1600805_S0_samtools	12676500.0	326322.0
CFD1600806_S0_samtools	10417162.0	229324.0
CFD1600812_S0_samtools	11537943.0	268876.0
CFD1600839_S0_samtools	16156611.0	378785.0
CFD1600840_S0_samtools	11228568.0	300054.0
CFD1600841_S0_samtools	18375041.0	468579.0
CFD1600842_S0_samtools	11055261.0	280156.0
CFD1600843_S0_samtools	14298573.0	401561.0
CFD1600849_S0_samtools	11433317.0	256403.0
CFD1600851_S0_samtools	11820012.0	370319.0
CFD1600853_S0_samtools	11286585.0	476004.0
CFD1600889_S0_samtools	10158857.0	319590.0
CFD1601067_S0_samtools	14067075.0	257363.0
CFD1601086_S0_samtools	7804824.0	237625.0
CFD1601174_S0_samtools	18119490.0	492319.0
CFD1601175_S0_samtools	3978035.0	185492.0
CFD1601176_S0_samtools	14968560.0	565884.0
CFD1601214_S0_samtools	11741446.0	413383.0
CFD1601224_S0_samtools	10525978.0	290344.0
CFD1601382_S0_samtools	7263572.0	160752.0
CFD1601406_S0_samtools	10931682.0	300853.0
CFD1601428_S0_samtools	6085894.0	124581.0
