Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
B192-B194E33_R1	B192-B194E33_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84514813.0	0.0	101.0	47.0	59.627267789882666	101.0	pass	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass
B210E33_R1	B210E33_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80764409.0	0.0	100.0	50.0	55.728605629675755	100.0	pass	pass	warn	pass	pass	fail	pass	pass	warn	pass	pass
B251E10_R1	B251E10_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80077482.0	0.0	101.0	47.0	60.57340150090022	101.0	pass	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass
CFD1500875_S0_R1	CFD1500875_S0_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10054281.0	0.0	25-293	41.0	94.45003349831947	152.01028914946778	pass	fail		warn	fail	warn	pass	warn	pass	pass	pass
CFD1500962_S0_R1	CFD1500962_S0_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11575764.0	0.0	25-291	43.0	94.12634193425457	157.16354877310906	pass	fail		warn	fail	fail	pass	warn	pass	pass	pass
CFD1500977_S0_R1	CFD1500977_S0_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9814008.0	0.0	25-292	42.0	96.93952749721001	151.9229400465131	pass	fail		warn	fail	warn	pass	warn	pass	pass	pass
CFD1600102_S0_R1	CFD1600102_S0_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14945297.0	0.0	25-294	40.0	93.94359611036518	155.86684975213274	pass	fail		warn	fail	warn	pass	warn	pass	pass	pass
CFD1600374_S0_R1	CFD1600374_S0_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17297487.0	0.0	25-288	41.0	94.05973884052715	154.39232635353332	pass	fail		warn	fail	warn	pass	warn	pass	pass	pass
CFD1600375_S0_R1	CFD1600375_S0_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13205536.0	0.0	25-291	39.0	94.16291746078176	160.01002844564582	pass	fail		warn	fail	warn	pass	warn	pass	pass	pass
CFD1600376_S0_R1	CFD1600376_S0_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16155280.0	0.0	25-297	40.0	94.72881491021519	149.46230520300483	pass	fail		warn	fail	warn	pass	warn	pass	pass	pass
CFD1600416_S0_R1	CFD1600416_S0_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26197124.0	0.0	25-297	41.0	94.55744896461317	150.1478897454545	pass	fail		warn	fail	warn	pass	warn	pass	pass	pass
CFD1600417_S0_R1	CFD1600417_S0_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16371635.0	0.0	25-301	40.0	94.89666844486956	146.83928434759264	pass	warn		warn	fail	warn	pass	warn	pass	pass	pass
CFD1600418_S0_R1	CFD1600418_S0_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11619711.0	0.0	25-291	41.0	95.89030952591891	158.0476701184737	pass	fail		warn	fail	warn	pass	warn	pass	pass	pass
CFD1600419_S0_R1	CFD1600419_S0_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10107008.0	0.0	25-291	41.0	95.06372428272644	147.12752141880168	pass	fail		warn	fail	warn	pass	warn	pass	pass	pass
CFD1600420_S0_R1	CFD1600420_S0_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14295655.0	0.0	25-291	41.0	94.67871602696408	146.47513814512172	pass	fail		warn	fail	warn	pass	warn	pass	pass	pass
CFD1600501_S0_R1	CFD1600501_S0_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15685208.0	0.0	25-296	41.0	95.86854395338514	152.20942285240974	pass	fail		warn	fail	warn	pass	warn	pass	pass	pass
CFD1600599_S0_R1	CFD1600599_S0_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10972776.0	0.0	25-296	41.0	95.79763033784677	152.47970905448176	pass	fail		warn	fail	warn	pass	warn	pass	pass	pass
