Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
B192-B194E33_R1	Unknown Library	84470356.0	0.0	60747.0	44457.0	33161469.0	0.0	0.0	0.392581	
B210E33_R1	Unknown Library	80733792.0	0.0	142236.0	30617.0	36764198.0	0.0	0.0	0.455376	
B251E10_R1	Unknown Library	80034286.0	0.0	47428.0	43196.0	30795497.0	0.0	0.0	0.384779	
CFD1500875_S0_R1	Unknown Library	9790107.0	0.0	73028.0	264174.0	1362019.0	0.0	0.0	0.139122	
CFD1500962_S0_R1	Unknown Library	11396980.0	0.0	47184.0	178784.0	1448487.0	0.0	0.0	0.127094	
CFD1500977_S0_R1	Unknown Library	9581013.0	0.0	27551.0	232995.0	757477.0	0.0	0.0	0.07906	
CFD1600102_S0_R1	Unknown Library	14728658.0	0.0	56781.0	216639.0	2178625.0	0.0	0.0	0.147917	
CFD1600374_S0_R1	Unknown Library	17050501.0	0.0	67536.0	246986.0	2343423.0	0.0	0.0	0.13744	
CFD1600375_S0_R1	Unknown Library	12924652.0	0.0	56844.0	280884.0	2057017.0	0.0	0.0	0.159155	
CFD1600376_S0_R1	Unknown Library	15851751.0	0.0	63220.0	303529.0	2075155.0	0.0	0.0	0.13091	
CFD1600416_S0_R1	Unknown Library	25719813.0	0.0	80303.0	477311.0	3456297.0	0.0	0.0	0.134383	
CFD1600417_S0_R1	Unknown Library	16137222.0	0.0	52801.0	234413.0	1936483.0	0.0	0.0	0.120001	
CFD1600418_S0_R1	Unknown Library	11437231.0	0.0	30483.0	182480.0	1087121.0	0.0	0.0	0.095051	
CFD1600419_S0_R1	Unknown Library	9928008.0	0.0	28442.0	179000.0	1171507.0	0.0	0.0	0.118	
CFD1600420_S0_R1	Unknown Library	14046840.0	0.0	46203.0	248815.0	1840275.0	0.0	0.0	0.13101	
CFD1600501_S0_R1	Unknown Library	15396509.0	0.0	59586.0	288699.0	1579098.0	0.0	0.0	0.102562	
CFD1600599_S0_R1	Unknown Library	10772931.0	0.0	36074.0	199845.0	1087726.0	0.0	0.0	0.100968	
CFD1600654_S0_R1	Unknown Library	15212584.0	0.0	53708.0	267266.0	1841090.0	0.0	0.0	0.121024	
CFD1600799_S0_R1	Unknown Library	13274676.0	0.0	35752.0	263377.0	1281389.0	0.0	0.0	0.096529	
CFD1600800_S0_R1	Unknown Library	12704746.0	0.0	41523.0	332386.0	2367680.0	0.0	0.0	0.186362	
CFD1600801_S0_R1	Unknown Library	13530834.0	0.0	44454.0	251048.0	2214727.0	0.0	0.0	0.16368	
CFD1600802_S0_R1	Unknown Library	15210444.0	0.0	55558.0	253422.0	2542894.0	0.0	0.0	0.167181	
CFD1600803_S0_R1	Unknown Library	18269913.0	0.0	66397.0	325632.0	1882480.0	0.0	0.0	0.103037	
CFD1600804_S0_R1	Unknown Library	14250507.0	0.0	51633.0	277651.0	1941954.0	0.0	0.0	0.136273	
CFD1600805_S0_R1	Unknown Library	14120510.0	0.0	44298.0	326322.0	1444010.0	0.0	0.0	0.102263	
CFD1600806_S0_R1	Unknown Library	11870237.0	0.0	40210.0	229324.0	1453075.0	0.0	0.0	0.122413	
CFD1600812_S0_R1	Unknown Library	13182202.0	0.0	39935.0	268876.0	1644259.0	0.0	0.0	0.124733	
CFD1600839_S0_R1	Unknown Library	17743586.0	0.0	54001.0	378785.0	1586975.0	0.0	0.0	0.089439	
CFD1600840_S0_R1	Unknown Library	12504792.0	0.0	34072.0	300054.0	1276224.0	0.0	0.0	0.102059	
CFD1600841_S0_R1	Unknown Library	20160832.0	0.0	73698.0	468579.0	1785791.0	0.0	0.0	0.088577	
CFD1600842_S0_R1	Unknown Library	12613293.0	0.0	45526.0	280156.0	1558032.0	0.0	0.0	0.123523	
CFD1600843_S0_R1	Unknown Library	16289385.0	0.0	68151.0	401561.0	1990812.0	0.0	0.0	0.122215	
CFD1600849_S0_R1	Unknown Library	12697303.0	0.0	41569.0	256403.0	1263986.0	0.0	0.0	0.099548	
CFD1600851_S0_R1	Unknown Library	13689428.0	0.0	38027.0	370319.0	1869416.0	0.0	0.0	0.136559	
CFD1600853_S0_R1	Unknown Library	12680055.0	0.0	46109.0	476004.0	1393470.0	0.0	0.0	0.109895	
CFD1600889_S0_R1	Unknown Library	13403078.0	0.0	42670.0	319590.0	3244221.0	0.0	0.0	0.24205	
CFD1601067_S0_R1	Unknown Library	16250853.0	0.0	87437.0	257363.0	2183778.0	0.0	0.0	0.134379	
CFD1601086_S0_R1	Unknown Library	8605332.0	0.0	22035.0	237625.0	800508.0	0.0	0.0	0.093025	
CFD1601174_S0_R1	Unknown Library	19873954.0	0.0	68528.0	492319.0	1754464.0	0.0	0.0	0.08828	
CFD1601175_S0_R1	Unknown Library	4549878.0	0.0	14883.0	185492.0	571843.0	0.0	0.0	0.125683	
CFD1601176_S0_R1	Unknown Library	16940347.0	0.0	112873.0	565884.0	1971787.0	0.0	0.0	0.116396	
CFD1601214_S0_R1	Unknown Library	13217203.0	0.0	73921.0	413383.0	1475757.0	0.0	0.0	0.111654	
CFD1601224_S0_R1	Unknown Library	11852290.0	0.0	33639.0	290344.0	1326312.0	0.0	0.0	0.111903	
CFD1601382_S0_R1	Unknown Library	8829570.0	0.0	31154.0	160752.0	1565998.0	0.0	0.0	0.177358	
CFD1601406_S0_R1	Unknown Library	12565065.0	0.0	36159.0	300853.0	1633383.0	0.0	0.0	0.129994	
CFD1601428_S0_R1	Unknown Library	7312472.0	0.0	29049.0	124581.0	1226578.0	0.0	0.0	0.167738	
CFD1601621_S0_R1	Unknown Library	10284416.0	0.0	36784.0	194600.0	1795161.0	0.0	0.0	0.174552	
CFD1601677_S0_R1	Unknown Library	14696525.0	0.0	46279.0	247721.0	2098019.0	0.0	0.0	0.142756	
CFD1601678_S0_R1	Unknown Library	12980222.0	0.0	36073.0	281508.0	2395014.0	0.0	0.0	0.184513	
CFD1601714_S0_R1	Unknown Library	12217174.0	0.0	39675.0	168297.0	2194446.0	0.0	0.0	0.17962	
CFD1700033_S0_R1	Unknown Library	16382412.0	0.0	51605.0	246913.0	2879443.0	0.0	0.0	0.175764	
CFD1700085_S0_R1	Unknown Library	10007097.0	0.0	29349.0	121708.0	1174491.0	0.0	0.0	0.117366	
CFD1700113_S0_R1	Unknown Library	15107780.0	0.0	45744.0	340274.0	1879016.0	0.0	0.0	0.124374	
CFD1700206_S0_R1	Unknown Library	12961778.0	0.0	37033.0	248843.0	1295210.0	0.0	0.0	0.099925	
CFD1700291_S0_R1	Unknown Library	15404141.0	0.0	53364.0	378598.0	2592779.0	0.0	0.0	0.168317	
CFD1700296_S0_R1	Unknown Library	12301925.0	0.0	38901.0	252076.0	1517344.0	0.0	0.0	0.123342	
CFD1700297_S0_R1	Unknown Library	12904705.0	0.0	37742.0	247044.0	1402063.0	0.0	0.0	0.108647	
CFD1700533_S0_R1	Unknown Library	11117248.0	0.0	40736.0	280912.0	1295494.0	0.0	0.0	0.11653	
CFD1700574_S0_R1	Unknown Library	11323743.0	0.0	31969.0	239047.0	1313711.0	0.0	0.0	0.116014	
CFD1700622_S0_R1	Unknown Library	10058726.0	0.0	33355.0	193963.0	1030438.0	0.0	0.0	0.102442	
CFD1700639_S0_R1	Unknown Library	12669679.0	0.0	32861.0	265165.0	1321069.0	0.0	0.0	0.10427	
CFD1700697_S0_R1	Unknown Library	9252769.0	0.0	29034.0	169626.0	906803.0	0.0	0.0	0.098003	
CFD1700831_S48_R1	Unknown Library	19478115.0	0.0	455.0	150960.0	4663254.0	0.0	0.0	0.23941	
CFD1700975_S0_R1	Unknown Library	14964526.0	0.0	55169.0	269050.0	2540620.0	0.0	0.0	0.169776	
CFD1701048_S0_R1	Unknown Library	16390425.0	0.0	82450.0	368100.0	1838850.0	0.0	0.0	0.112191	
CFD1701149_S0_R1	Unknown Library	12816240.0	0.0	40890.0	272547.0	2058720.0	0.0	0.0	0.160634	
CFD1701162_S42_R1	Unknown Library	23828368.0	0.0	516.0	167648.0	2726826.0	0.0	0.0	0.114436	
CFD1701663_S64_R1	Unknown Library	27458183.0	0.0	417.0	151831.0	4507779.0	0.0	0.0	0.164169	
CFD1702217_S58_R1	Unknown Library	24511324.0	0.0	339.0	118680.0	3143311.0	0.0	0.0	0.128239	
CFD1702232_S73_R1	Unknown Library	23455809.0	0.0	381.0	113216.0	2909406.0	0.0	0.0	0.124038	
CFD1702354_S78_R1	Unknown Library	21851525.0	0.0	319.0	101688.0	2531762.0	0.0	0.0	0.115862	
CFD1702616_S34_R1	Unknown Library	31051673.0	0.0	494.0	140274.0	3365261.0	0.0	0.0	0.108376	
CFD1703030_S24_R1	Unknown Library	22990874.0	0.0	327.0	108225.0	2475525.0	0.0	0.0	0.107674	
CFD1703055_S3_R1	Unknown Library	22441954.0	0.0	374.0	120981.0	1578031.0	0.0	0.0	0.070316	
CFD1703310_S51_R1	Unknown Library	34124000.0	0.0	473.0	182815.0	5377721.0	0.0	0.0	0.157594	
CFD1704141_S3_R1	Unknown Library	19266087.0	0.0	281.0	100471.0	2488445.0	0.0	0.0	0.129162	
CFD1704153_S41_R1	Unknown Library	21855789.0	0.0	316.0	111515.0	1714950.0	0.0	0.0	0.078467	
CFD1704154_S42_R1	Unknown Library	18933679.0	0.0	320.0	139367.0	1931424.0	0.0	0.0	0.10201	
CFD1704155_S43_R1	Unknown Library	16179514.0	0.0	237.0	104263.0	1839187.0	0.0	0.0	0.113674	
CFD1704156_S44_R1	Unknown Library	18933173.0	0.0	269.0	113293.0	1482386.0	0.0	0.0	0.078296	
CFD1704157_S45_R1	Unknown Library	22127662.0	0.0	294.0	113640.0	1986026.0	0.0	0.0	0.089753	
CFD1704158_S46_R1	Unknown Library	23255967.0	0.0	308.0	186959.0	2343596.0	0.0	0.0	0.100774	
CFD1704159_S47_R1	Unknown Library	17957966.0	0.0	207.0	129079.0	2151787.0	0.0	0.0	0.119824	
CFD1704160_S4_R1	Unknown Library	16766522.0	0.0	259.0	111816.0	2074665.0	0.0	0.0	0.123739	
CFD1704161_S5_R1	Unknown Library	22398743.0	0.0	319.0	142484.0	2267225.0	0.0	0.0	0.101221	
CFD1704183_S44_R1	Unknown Library	27982361.0	0.0	546.0	386346.0	7573047.0	0.0	0.0	0.270636	
CFD1704184_S45_R1	Unknown Library	107335631.0	0.0	2312.0	487004.0	27245015.0	0.0	0.0	0.25383	
CFD1704185_S46_R1	Unknown Library	25503884.0	0.0	464.0	363074.0	7238091.0	0.0	0.0	0.283803	
CFD1704186_S47_R1	Unknown Library	23871062.0	0.0	458.0	523528.0	6891002.0	0.0	0.0	0.288676	
CFD1704191_S40_R1	Unknown Library	22400735.0	0.0	368.0	106881.0	2597049.0	0.0	0.0	0.115936	
CFD1704192_S42_R1	Unknown Library	26239813.0	0.0	482.0	319638.0	7612337.0	0.0	0.0	0.290106	
CFD1704239_S41_R1	Unknown Library	24539376.0	0.0	383.0	137065.0	3620093.0	0.0	0.0	0.147522	
CFD1704240_S42_R1	Unknown Library	23096732.0	0.0	379.0	249072.0	4655245.0	0.0	0.0	0.201554	
CFD1704241_S43_R1	Unknown Library	19196833.0	0.0	321.0	146308.0	3083005.0	0.0	0.0	0.1606	
CFD1704242_S44_R1	Unknown Library	25798481.0	0.0	384.0	123322.0	2861753.0	0.0	0.0	0.110927	
CFD1704243_S29_R1	Unknown Library	20090549.0	0.0	318.0	209357.0	6026066.0	0.0	0.0	0.299945	
CFD1704244_S30_R1	Unknown Library	23759560.0	0.0	395.0	197983.0	5957007.0	0.0	0.0	0.25072	
CFD1704245_S31_R1	Unknown Library	21733666.0	0.0	370.0	287711.0	4796861.0	0.0	0.0	0.220711	
CFD1704246_S32_R1	Unknown Library	24974543.0	0.0	351.0	141155.0	4279065.0	0.0	0.0	0.171337	
CFD1704247_S33_R1	Unknown Library	21716600.0	0.0	303.0	129943.0	4750724.0	0.0	0.0	0.21876	
CFD1704248_S34_R1	Unknown Library	18302830.0	0.0	322.0	200288.0	5333581.0	0.0	0.0	0.291407	
CFD1704249_S35_R1	Unknown Library	22268698.0	0.0	379.0	145144.0	3923706.0	0.0	0.0	0.176198	
CFD1704250_S36_R1	Unknown Library	20113569.0	0.0	351.0	108941.0	2809537.0	0.0	0.0	0.139684	
CFD1704258_S28_R1	Unknown Library	29543555.0	0.0	445.0	249522.0	8428006.0	0.0	0.0	0.285274	
CFD1704262_S65_R1	Unknown Library	33193629.0	0.0	658.0	368758.0	11142014.0	0.0	0.0	0.335667	
CFD1704269_S36_R1	Unknown Library	31963134.0	0.0	543.0	148240.0	2916524.0	0.0	0.0	0.091246	
CFD1704346_S5_R1	Unknown Library	23024462.0	0.0	350.0	120888.0	1774723.0	0.0	0.0	0.07708	
CFD1800935_S37_R1	Unknown Library	19487977.0	0.0	285.0	112763.0	2794063.0	0.0	0.0	0.143374	
CFD1800936_S38_R1	Unknown Library	19155444.0	0.0	263.0	203242.0	6888169.0	0.0	0.0	0.359593	
CFD1800937_S39_R1	Unknown Library	19536351.0	0.0	326.0	103034.0	6327109.0	0.0	0.0	0.323863	
CFD1800938_S40_R1	Unknown Library	23607021.0	0.0	375.0	126452.0	5807874.0	0.0	0.0	0.246023	
CFD1800939_S41_R1	Unknown Library	17622798.0	0.0	301.0	176207.0	7148905.0	0.0	0.0	0.405662	
CFD1800940_S42_R1	Unknown Library	24150264.0	0.0	380.0	127204.0	3290572.0	0.0	0.0	0.136254	
CFD1800941_S43_R1	Unknown Library	14462122.0	0.0	258.0	65892.0	1126381.0	0.0	0.0	0.077885	
CFD1800942_S44_R1	Unknown Library	20080236.0	0.0	318.0	117343.0	3773751.0	0.0	0.0	0.187934	
CFD1800943_S45_R1	Unknown Library	20439402.0	0.0	298.0	101160.0	2216851.0	0.0	0.0	0.10846	
CFD1802274_S2_R1	Unknown Library	22324467.0	0.0	313.0	108996.0	2501314.0	0.0	0.0	0.112044	
CFD1802279_S13_R1	Unknown Library	31394168.0	0.0	492.0	169091.0	4994165.0	0.0	0.0	0.159079	
CFD1802280_S14_R1	Unknown Library	33152951.0	0.0	489.0	153505.0	4613100.0	0.0	0.0	0.139146	
CFD1802281_S16_R1	Unknown Library	31418099.0	0.0	552.0	200266.0	5944409.0	0.0	0.0	0.189203	
CFD1802282_S22_R1	Unknown Library	33175815.0	0.0	534.0	199773.0	4848136.0	0.0	0.0	0.146135	
CFD1802283_S23_R1	Unknown Library	32593604.0	0.0	489.0	199224.0	6011565.0	0.0	0.0	0.18444	
CFD1802284_S24_R1	Unknown Library	34793838.0	0.0	549.0	185326.0	5181060.0	0.0	0.0	0.148907	
CFD1802285_S25_R1	Unknown Library	31042871.0	0.0	423.0	185626.0	4239739.0	0.0	0.0	0.136577	
CFD1802286_S26_R1	Unknown Library	36862680.0	0.0	497.0	198708.0	7295583.0	0.0	0.0	0.197912	
CFD1802287_S21_R1	Unknown Library	30545565.0	0.0	472.0	151179.0	4508970.0	0.0	0.0	0.147615	
CFD1802291_S44_R1	Unknown Library	24603699.0	0.0	436.0	179414.0	6594805.0	0.0	0.0	0.268041	
CFD1802292_S45_R1	Unknown Library	16760597.0	0.0	295.0	273587.0	7153319.0	0.0	0.0	0.426794	
CFD1802320_S33_R1	Unknown Library	21539543.0	0.0	397.0	146604.0	3479878.0	0.0	0.0	0.161558	
CFD1802532_S49_R1	Unknown Library	38134580.0	0.0	668.0	185539.0	3254070.0	0.0	0.0	0.085331	
CFD1802712_S26_R1	Unknown Library	29414510.0	0.0	464.0	148550.0	3645733.0	0.0	0.0	0.123943	
CFD1802990_S37_R1	Unknown Library	25239299.0	0.0	439.0	105459.0	2747738.0	0.0	0.0	0.108867	
CFD1803001_S47_R1	Unknown Library	20087465.0	0.0	375.0	101235.0	2300957.0	0.0	0.0	0.114547	
CFD1803244_S4_R1	Unknown Library	24996766.0	0.0	334.0	144070.0	4484770.0	0.0	0.0	0.179414	
CFD1803368_S6_R1	Unknown Library	39692211.0	0.0	646.0	303032.0	2462792.0	0.0	0.0	0.062047	
CFD1803369_S46_R1	Unknown Library	20380575.0	0.0	369.0	478628.0	1066931.0	0.0	0.0	0.05235	
CFD1803463_S14_R1	Unknown Library	28087882.0	0.0	523.0	419653.0	2804846.0	0.0	0.0	0.09986	
CFD1803660_S2_R1	Unknown Library	18285546.0	0.0	299.0	618118.0	1625314.0	0.0	0.0	0.088885	
CFD1803690_S2_R1	Unknown Library	21884892.0	0.0	365.0	432714.0	1082414.0	0.0	0.0	0.049459	
CFD1803755_S26_R1	Unknown Library	13731124.0	0.0	214.0	3667099.0	1642295.0	0.0	0.0	0.119604	
CFD1803932_S20_R1	Unknown Library	22599119.0	0.0	514.0	845479.0	1416456.0	0.0	0.0	0.062677	
CFD1804130_S16_R1	Unknown Library	17967972.0	0.0	336.0	783019.0	1853585.0	0.0	0.0	0.103161	
CFD1804331_S6_R1	Unknown Library	40726738.0	0.0	817.0	299196.0	3808245.0	0.0	0.0	0.093507	
CFD1804477_S12_R1	Unknown Library	37995791.0	0.0	696.0	626421.0	3528187.0	0.0	0.0	0.092857	
