Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
B192-B194E33_samtools	51353344.0	0.0	51353344.0	1.0	51353344.0	0.0	51308887.0	0.0	44457.0	0.0	0.0	0.0	5593063.0	0.0	0.0	5186687744.0	5186687744.0	0.0	5182197587.0	5169564910.0	0.0	0.0	11546597.0	0.002233572	101.0	101.0	0.0	101.0	101.0	0.0	37.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.91342920141676	0.0	0.0865707985832432	0.0	0.0	0.0	10.891331633632271	0.0
B210E33_samtools	44000211.0	0.0	44000211.0	1.0	44000211.0	0.0	43969594.0	0.0	30617.0	0.0	0.0	0.0	2585812.0	0.0	0.0	4400021100.0	4400021100.0	0.0	4396959400.0	4390043717.0	0.0	0.0	8404982.0	0.001914555	100.0	100.0	0.0	100.0	100.0	0.0	37.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.93041624277666	0.0	0.06958375722334605	0.0	0.0	0.0	5.8768172725353525	0.0
B251E10_samtools	49281985.0	0.0	49281985.0	1.0	49281985.0	0.0	49238789.0	0.0	43196.0	0.0	0.0	0.0	5503125.0	0.0	0.0	4977480485.0	4977480485.0	0.0	4973117689.0	4962006610.0	0.0	0.0	11468910.0	0.002311345	101.0	101.0	0.0	101.0	101.0	0.0	37.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.91234930979343	0.0	0.08765069020657346	0.0	0.0	0.0	11.166605809404796	0.0
CFD1500875_S0_samtools	8692262.0	0.0	8692262.0	1.0	8692262.0	0.0	8428088.0	0.0	264174.0	0.0	0.0	0.0	686358.0	0.0	0.0	1326362713.0	1326362713.0	0.0	1313619966.0	1301800334.0	0.0	0.0	16152893.0	0.01240812	152.0	153.0	0.0	293.0	293.0	0.0	23.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.96081411259809	0.0	3.0391858874019215	0.0	0.0	0.0	7.896195489735583	0.0
CFD1500962_S0_samtools	10127277.0	0.0	10127277.0	1.0	10127277.0	0.0	9948493.0	0.0	178784.0	0.0	0.0	0.0	772160.0	0.0	0.0	1597721398.0	1597721398.0	0.0	1588696231.0	1579637910.0	0.0	0.0	13745550.0	0.008701709	157.0	158.0	0.0	291.0	291.0	0.0	24.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.23462911106311	0.0	1.765370888936878	0.0	0.0	0.0	7.6245569268027324	0.0
CFD1500977_S0_samtools	9056531.0	0.0	9056531.0	1.0	9056531.0	0.0	8823536.0	0.0	232995.0	0.0	0.0	0.0	576244.0	0.0	0.0	1381042408.0	1381042408.0	0.0	1369829761.0	1360635412.0	0.0	0.0	13496644.0	0.009919369	152.0	152.0	0.0	292.0	292.0	0.0	24.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.42732620249409	0.0	2.57267379750591	0.0	0.0	0.0	6.362745293976248	0.0
CFD1600102_S0_samtools	12766672.0	0.0	12766672.0	1.0	12766672.0	0.0	12550033.0	0.0	216639.0	0.0	0.0	0.0	946015.0	0.0	0.0	1999782194.0	1999782194.0	0.0	1989111282.0	1975031211.0	0.0	0.0	21075510.0	0.01067098	156.0	157.0	0.0	294.0	294.0	0.0	24.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.30308948173807	0.0	1.6969105182619244	0.0	0.0	0.0	7.410036068914436	0.0
CFD1600374_S0_samtools	14954064.0	0.0	14954064.0	1.0	14954064.0	0.0	14707078.0	0.0	246986.0	0.0	0.0	0.0	983176.0	0.0	0.0	2319336532.0	2319336532.0	0.0	2307484427.0	2293610736.0	0.0	0.0	21894577.0	0.009545899	155.0	155.0	0.0	288.0	288.0	0.0	24.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.34836871100725	0.0	1.6516312889927447	0.0	0.0	0.0	6.574640846795894	0.0
CFD1600375_S0_samtools	11148519.0	0.0	11148519.0	1.0	11148519.0	0.0	10867635.0	0.0	280884.0	0.0	0.0	0.0	835083.0	0.0	0.0	1793327981.0	1793327981.0	0.0	1779929861.0	1766494583.0	0.0	0.0	20506321.0	0.01160848	160.0	161.0	0.0	291.0	291.0	0.0	24.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.48052633717536	0.0	2.5194736628246317	0.0	0.0	0.0	7.490528562583066	0.0
CFD1600376_S0_samtools	14080125.0	0.0	14080125.0	1.0	14080125.0	0.0	13776596.0	0.0	303529.0	0.0	0.0	0.0	972997.0	0.0	0.0	2115327414.0	2115327414.0	0.0	2101363521.0	2085082941.0	0.0	0.0	22464968.0	0.01077414	150.0	150.0	0.0	297.0	297.0	0.0	24.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.84427339956144	0.0	2.1557266004385616	0.0	0.0	0.0	6.910428707131507	0.0
