SampleID,CPA,CPAm
CFD1801517_S42,1.0295185923416508,0.3026688
CFD1803670_S25,1.1204292467720853,0.263679
CFD1803102_S1,1.3213746892196865,0.2915546
CFD1805852_S42,1.449235704662397,0.3184348
CFD1703527_S33,1.321229991770776,0.3337544
CFD1801073_S32,1.3529160212361173,0.3284182
CFD1803857_S9,1.2876479953458015,0.2630382
CFD1801260_S42,1.1987653196106456,0.3238006
CFD1800423_S86,1.3245019283385513,0.2917904
CFD1804651_S36,1.3529017135641572,0.3577454
CFD1802988_S35,1.3770117363591012,0.3301084
CFD1805857_S47,1.3931785987081913,0.2911336
CFD1805853_S43,1.1189482951964362,0.2886266
CFD1801701_S62,1.2634001201316036,0.2839762
CFD1802750_S21,1.2147106416706703,0.2980444
CFD1804137_S28,1.2390277095859756,0.3059822
CFD1802787_S46,1.1489937953768299,0.3150248
CFD1804484_S6,1.3947481423926875,0.2986494
CFD1800351_S28,1.4679767003266087,0.2728324
CFD1805851_S41,1.3536379167887134,0.3041942
CFD1800345_S22,1.3662786834326306,0.3172988
CFD1804645_S30,1.3781271234695698,0.3192462605472
CFD1802977_S25,1.5106050138351468,0.319848
CFD1804490_S12,1.254946887479952,0.3142984
CFD1801932_S12,1.3141010468568346,0.3083146
CFD1803116_S16,1.2655300998149501,0.2807866
CFD1805660_S33,1.1339939483641732,0.2972254
CFD1800812_S33,1.1300038909705774,0.2971672
CFD1804889_S13,1.3808299300006524,0.317471
CFD1703269_S10,1.3713170189433304,0.3394958
CFD1704274_S5,1.3115911356149104,0.2879652
CFD1803664_S19,1.4115217127690463,0.311566
CFD1802220_S35,1.1851984752927542,0.3147532
CFD1703297_S38,1.2985747324111354,0.3658496
CFD1800387_S20,1.304371516727045,0.31628
CFD1801729_S33,1.1568804571384999,0.2672514
CFD1801262_S44,1.343276616999815,0.2822386
CFD1703916_S20,1.285412860669294,0.2860728
CFD1800184_S49,1.2520715333875934,0.3238476
CFD1703902_S37,1.3220801697341544,0.3049414
CFD1801067_S27,1.1490999118332976,0.2854294
CFD1802793_S48,1.0386408040810593,0.3376958
CFD1804321_S38,1.2716718357265333,0.2798346
CFD1802234_S49,1.2224559250504927,0.2922234
CFD1800190_S55,1.183312292604832,0.330055
CFD1800437_S60,1.0466559144836083,0.2710124
CFD1804239_S28,1.0724275398792713,0.2713226
CFD1801926_S6,1.1853509606784833,0.3138589251224
CFD1800379_S12,1.3023629926358438,0.3143188
CFD1803856_S53,1.1525819050404846,0.2752392
CFD1803842_S45,1.2880490775217426,0.2751162
CFD1803658_S47,1.5082372359904144,0.3317364
CFD1800386_S19,1.2732134484646225,0.2873088
CFD1704089_S29,1.1297395631746237,0.2838018
CFD1803880_S4,1.3825861359699538,0.27770860000000003
CFD1802963_S13,1.306106036200428,0.308741
CFD1802208_S23,1.3327081373510208,0.2985406
CFD1804123_S9,1.2688285041550307,0.286089
CFD1800147_S22,1.3491990268345633,0.2996098
CFD1804241_S30,1.185468677605543,0.3028406
